Area,Price
600,118400
620,121542
640,123523
660,124251
680,124784
700,126361
720,129260
740,132545
760,134924
780,135938
800,136383
820,137580
840,140155
860,143470
880,146205
900,147575
920,148048
940,148917
960,151113
980,154344
1000,157369
1020,159134
1040,159746
1060,160370
1080,162161
1100,165201
1120,168423
1140,170594
1160,171446
1180,171924
1200,173317
1220,176073
1240,179387
1260,181939
1280,183113
1300,183557
1320,184592
1340,186994
1360,190284
1380,193165
1400,194717
1420,195242
1440,195985
1460,197992
1480,201146
1500,204276
1520,206232
1540,206945
1560,207487
1580,209089
1600,212006
1620,215285
1640,217639
1660,218633
1680,219081
1700,220300
1720,222897
1740,226214
1760,228929
1780,230275
1800,230742
1820,231630
1840,233851
1860,237091
1880,240100
1900,241840
1920,242440
1940,243076
1960,244893
1980,247947
2000,251160
2020,253306
2040,254140
2060,254624
2080,256042
2100,258818
2120,262129
2140,264659
2160,265810
2180,266253
2200,267309
2220,269735
2240,273029
2260,275892
2280,277419
2300,277935
2320,278694
2340,280727
2360,283893
2380,287010
2400,288940
2420,289638
2440,290190
2460,291817
2480,294752
2500,298024
2520,300355
2540,301329
2560,301779
2580,303021
2600,305640
2620,308958
2640,311652
2660,312974
2680,313437
2700,314344
2720,316589
2740,319837
2760,322830
2780,324545
2800,325133
2820,325783
2840,327625
2860,330694
2880,333897
2900,336018
2920,336834
2940,337325
2960,338767
2980,341562
3000,344870
3020,347378
3040,348508
3060,348950
3080,350026
3100,352475
3120,355774
3140,358618
3160,360121
3180,360629
3200,361404
3220,363462
3240,366639
3260,369743
3280,371648
3300,372332
3320,372894
3340,374546
3360,377497
3380,380764
3400,383070
3420,384024
3440,384478
3460,385742
3480,388383
3500,391701
3520,394374
3540,395673
3560,396132
3580,397058
3600,399327
3620,402583
3640,405559
3660,407249
3680,407827
3700,408490
3720,410357
3740,413440
3760,416633
3780,418729
3800,419529
3820,420026
3840,421492
3860,424307
3880,427612
3900,430096
3920,431204
3940,431646
3960,432744
3980,435217
4000,438519
4020,441344
4040,442822
4060,443323
4080,444115
4100,446198
4120,449386
4140,452476
4160,454356
4180,455026
4200,455598
4220,457275
4240,460243
4260,463503
4280,465784
4300,466719
4320,467176
4340,468464
4360,471126
4380,474444
4400,477096
4420,478372
4440,478827
4460,479772
4480,482066
4500,485329
4520,488289
4540,489953
4560,490520
4580,491197
4600,493090
4620,496187
4640,499369
4660,501439
4680,502223
4700,502727
4720,504218
4740,507052
4760,510353
4780,512814
4800,513901
4820,514343
4840,515462
4860,517958
4880,521264
4900,524070
4920,525524
4940,526017
4960,526826
4980,528934
5000,532132
5020,535208
5040,537063
5060,537719
5080,538302
5100,540004
5120,542989
5140,546241
5160,548498
5180,549414
5200,549875
5220,551186
5240,553870
5260,557188
5280,559818
5300,561070
5320,561522
5340,562487
5360,564805
5380,568075
5400,571018
5420,572657
5440,573214
5460,573904
5480,575823
5500,578933
5520,582105
5540,584150
5560,584917
5580,585429
5600,586944
5620,589797
5640,593094
5660,595532
5680,596597
5700,597040
5720,598181
5740,600699
5760,604009
5780,606795
5800,608224
5820,608712
5840,609537
5860,611670
5880,614879
5900,617941
5920,619770
5940,620413
5960,621007
5980,622734
6000,625735
6020,628979
6040,631212
6060,632109
6080,632575
6100,633909
6120,636613
6140,639931
6160,642539
6180,643769
6200,644218
6220,645202
6240,647544
6260,650820
6280,653746
6300,655360
6320,655907
6340,656613
6360,658556
6380,661680
6400,664840
6420,666860
6440,667610
6460,668131
6480,669670
6500,672542
6520,675835
6540,678249
6560,679294
6580,679737
6600,680900
6620,683441
6640,686753
6660,689519
6680,690925
6700,691406
6720,692249
6740,694407
6760,697625
