Size_SQFT,Bedrooms,Bathrooms,Age_Years,Distance_Subway_Miles,School_Rating,House_Price_K
2398,2,1.9,27,0.16,8,403.99
2017,1,1.0,58,1.3,4,268.54
2488,5,4.0,25,2.46,6,467.58
3013,2,1.0,44,0.46,7,457.59
1959,1,1.0,1,0.82,4,337.18
1959,5,3.8,34,1.21,4,370.06
3047,4,3.2,31,3.58,10,455.05
2560,2,2.3,29,0.22,3,414.67
1818,4,3.1,45,0.41,10,373.68
2425,3,2.2,19,3.76,6,380.47
1821,5,4.0,57,0.1,2,338.32
1820,5,2.6,12,1.6,4,355.43
2245,2,1.0,26,1.53,8,351.27
952,5,3.2,22,0.72,3,260.62
1065,3,2.7,57,0.95,8,215.81
1762,5,4.0,15,2.9,7,376.21
1492,1,1.7,30,0.27,7,299.38
2288,4,3.3,11,0.4,9,440.12
1555,3,2.7,32,1.08,4,266.2
1252,3,2.3,37,0.79,8,267.69
2979,4,2.8,44,1.28,2,459.68
1964,4,2.5,31,3.8,3,322.09
2140,3,1.7,53,3.74,4,325.68
1245,4,2.3,55,0.39,9,290.95
1773,2,1.9,1,0.54,1,282.36
2166,4,2.8,49,0.27,7,372.06
1409,1,1.0,48,3.94,2,174.51
2325,1,1.0,50,0.76,5,323.11
1739,2,1.0,22,0.9,1,298.13
1924,4,2.9,31,2.43,6,331.93
1738,1,1.0,14,1.08,3,288.94
3211,5,4.0,39,0.19,6,537.13
2091,4,2.3,54,0.86,8,374.39
1465,2,2.1,40,1.49,8,254.5
2593,4,2.9,39,1.91,4,424.54
1367,3,2.0,7,1.55,7,305.93
2225,3,2.1,42,0.19,6,380.95
924,1,1.0,49,0.54,2,178.81
1303,3,2.4,48,1.98,6,232.36
2218,2,1.0,21,3.18,2,312.65
2543,1,1.0,54,0.1,4,368.46
2202,2,1.4,37,0.1,5,338.29
2030,2,1.0,54,1.55,9,317.85
1919,3,2.0,55,1.19,3,311.99
1212,3,3.0,33,0.25,5,280.05
1668,2,1.6,0,1.19,2,308.99
1823,3,2.3,9,5.5,3,265.56
2734,3,2.1,39,1.5,5,424.3
2306,3,2.1,15,0.89,7,385.28
1042,4,3.1,23,2.64,6,235.16
2294,2,1.4,45,0.36,2,336.41
1868,5,4.0,23,0.8,9,423.4
1693,2,1.7,47,1.13,8,297.08
2467,1,1.0,13,1.05,9,393.6
2718,3,2.5,25,3.81,9,432.28
2658,3,1.8,38,0.52,5,428.24
1596,5,3.3,17,0.1,7,375.31
1914,1,1.0,19,3.72,7,271.24
2298,4,3.1,40,0.37,10,416.1
2685,2,1.8,55,0.71,9,409.31
1812,4,1.9,35,1.14,9,337.97
1988,1,1.1,23,5.59,6,268.51
1436,5,4.0,25,1.15,3,341.48
1382,1,1.0,28,0.89,8,256.24
2587,5,3.6,47,1.31,1,395.98
2913,4,3.1,21,5.3,10,450.74
2056,4,1.3,10,2.56,4,351.43
2702,1,1.0,40,0.28,10,392.4
2316,1,1.3,48,2.44,2,298.84
1712,3,1.9,53,2.76,5,276.08
2316,5,3.7,10,1.76,7,467.03
3022,3,2.2,51,1.61,1,451.95
2078,2,1.9,2,0.87,4,338.48
3038,2,1.3,20,1.54,3,436.43
528,1,1.0,57,2.01,4,87.14
2593,4,3.1,10,0.2,6,461.12
2152,2,1.9,7,0.45,10,397.79
1920,2,2.1,30,0.32,6,332.39
2155,3,2.1,58,2.76,1,309.29
907,3,2.0,9,1.71,3,231.53
1968,2,1.4,5,0.9,1,322.38
2314,1,1.4,16,2.62,1,310.08
2986,3,2.6,37,1.89,1,416.72
1789,2,1.3,6,3.67,3,304.45
1614,4,2.2,31,0.12,2,323.15
1798,3,2.8,12,1.07,4,342.46
2649,2,2.1,5,1.84,7,425.34
2297,5,3.2,2,0.35,2,461.06
1782,3,2.0,26,0.59,2,308.53
2407,5,4.0,56,0.81,7,408.7
2158,3,2.4,44,2.37,9,363.3
2681,3,1.3,41,1.02,3,381.28
1678,5,3.2,25,1.02,10,380.26
1903,1,1.0,3,0.85,8,351.02
1864,2,1.6,36,0.39,6,291.21
1221,1,1.1,20,3.85,6,176.96
2277,1,1.1,50,0.57,3,330.41
2256,2,1.6,27,1.26,10,372.62
2103,4,3.2,17,0.24,9,429.1
1959,1,1.0,55,0.85,9,307.12
1250,1,1.0,31,3.51,4,191.49
1847,1,1.0,38,8.09,10,209.49
1894,4,3.9,52,0.67,6,318.36
1618,3,1.8,32,0.25,5,309.58
2003,5,4.0,25,0.57,4,375.06
2342,5,3.7,16,0.59,2,447.18
3231,4,3.4,55,1.55,4,488.55
